Course Code,Semester,Campus,Course Average,Course Coordinator,Notes,
POL115,Winter 2023,UTM,C+,Geoffrey Dancy,,
CHM243,Winter 2023,UTM,C-,Leigh Revers,"Final exam average was 37%, and we weren't curved. ",
GER100,Fall 2021 - Winter 2022,UTM,B-,Suzanne Schafer,,
POL209,Fall 2022,UTM,C+,Noel Anderson,,
CHM311,Winter 2023,UTM,C,Paul Piunno,,
JCP221,Winter 2023,UTM,B,David McMillen,,
BIO259,Fall 2022,UTM,C+,Alex Nguyen Ba,New course. It was awful,
POL215,Fall 2022,UTM,C+,David Pond,"I have personal beef with this guy, he has probably the worst office hours of any prof I've had so far",
SOC202,Fall 2022,UTM,C+,Jordan Foster,"Take this if possible, super easy, and if you go to office hours, prof will make sure you get an 85",
CHM211,Fall 2022,UTM,B+,Anna S. ,Prof is very clear about what is gonna be on the test. Hard to mess up. ,
POL210,Winter 2023,UTM,C+,Mark Yaniszewski,"Amazing prof, pay attention to his tangents on specific points in class because he'll ask them on multiple choices",
CCT109,Fall 2021,UTM,C+,Beth Coleman,"Prof gave a I don't care attitude, made us write a lot without teaching how ",
POL216,Winter 2023,UTM,C+,Alison Smith,,
SOC109,Winter 2023,UTM,C,,,
CCT110,Winter 2022,UTM,B-,"Lisa Penden, Steve szigeti","10 page final essay, based on the 5pg essay from 109",
SOC275,Winter 2023,UTM,B-,Hae Yeon Choo,"Prof is really sweet and helpful, she's on maternity leave until Fall 2024 though ",
ENG105,Fall 2022,UTM,B-,,,
LIN204,Fall 2022,UTM,B,,,
ENG110,Winter 2023,UTM,B-,,,
PSY100,Fall 2022 - Winter 2023,UTM,C-,,,
PHL245,Winter 2023,UTM,*,,Average not posted,
CSB329,Summer 2023,UTSG,B,,,
ITA233,Fall 2022,UTM,B+,"Adriana Grimaldi",No final exam,
CLA201,Fall 2022,UTM,B-,,,
ENG102,Fall 2022,UTSG,A-,,,
RLG107,Winter 2023,UTSG,B,,,
