Course Code,Semester,Course Average,Course Name
CSB331,Winter 2023,B-,Advanced Cell Biology
CSB472,Winter 2023,B,Foundational Discoveries in Genome Biology and Bioinforgraphics: AlphaFold2 and its implications
CSB457,Winter 2023,A-,Post-transcriptional Gene Regulation
CSB327,Fall 2021,B+,Extracellular Matrix Dynamics and Associated Pathologies
CSB349,Fall 2021,A-,Eukaryotic Gene Expression
BCH440,Winter 2022,B,Protein Homeostasis
BCH428,Fall 2022,A-,Genomics of Microbial Communities in Human Health and Beyond
BCH448,Fall 2022,A-,Structure and Function of the Nucleus
HIS198,Fall 2021,A-,Decolonizing Women's History
POL195,Fall 2021,A-,First-Year Foundation Seminar: Settler Colonialism and Enduring Indigeneity
SDS255,Fall 2021,B,Histories of Sexuality
VIC114,Fall 2021,B,Renaissance in Popular Culture
CLA210,Winter 2022,C+,Greek and Roman Archeology
HIS108,Winter 2022,C+,What is History
MAT198,Winter 2022,A-,Cryptology: The Mathematics of Secrecy and Security
NEW198,Winter 2022,B+,Myths of French Sensuality
RLG107,Winter 2022,B,"It's the End of the World as We Know It"
FAH230,Fall 2022,B+,Renaissance Art and Architecture
HIS243,Fall 2022,B-,Early Modern Europe (15th-17th Centuries)
MST201,Fall 2022,B-,Getting Medieval: Myths and Monsters
HIS222,Winter 2023,C+,African American History from 1865 to the Present
HIS242,Winter 2023,C+,Europe in the 20th Century
HIS346,Winter 2023,B-,Rice Sugar and Spice in Southeast Asia: A Hisotry of Food in the Region
ITA332,Winter 2023,B-,Love in the Renaissance
CIN105,Fall/Winter 2023,C+,Introduction to Film Study
SOC100,Summer 2019,C+,Introduction to Sociolofy I: Social Perspectives
ECE212,Fall 2019,B-,Circuit Analysis
ECE241,Fall 2019,B-,Digital Systems
ECE244,Fall 2019,B,Programming Fundamentals
MAT290,Fall 2019,B,Advanced Engineering Mathematics
MAT291,Fall 2019,C+,Introduction to Mathematical Physics
CIV300,Fall 2021,B+,Terrestrial Energy Systems
ECE302,Fall 2021,C+,Probability and Applications
ECE344,Fall 2021,B,Operating Systems
ECE345,Fall 2021,B,Algorithms and Data Structures
ECE361,Fall 2021,B+,Computer Networks
APS360,Winter 2022,B-,Applied Fundamentals of Deep Learning
CSC343,Winter 2022,B+,Introduction to Databases
ECE311,Winter 2022,C+,Introduction to Control Systems
ECE342,Winter 2022,B-,Computer Hardware
TEP343,Winter 2022,A-,Engineering Leadership
ANT253,Fall 2022,B,Language & Society
CIN240,Fall 2021,B,Special Topics in Cinema Studies
RSM219,Winter 2022,B+,Introduction to Financial Accounting
RSM222,Fall 2022,B,Management Accounting I
RSM225,Fall 2022,B,Legal Environment of Business I
RSM270,Fall 2023,B+,Operations Management
RSM332,Winter 2023,B,Capital Market Theory
ECO220,Winter 2023,C+,Introduction to Data Analysis and Applied Econometrics
ECO204,Winter 2023,B,Microeconomic Theory and Applications (for Commerce)
ECO101,Fall 2019,C+,Principles of Microeconomics
HPS110,Fall 2019,B,The Science of Human Nature
BIO130,Fall 2021,B,Molecular and Cell Biology
TRN135,Fall 2021/ Winter 2022,A-,Science and Social Choice
TRN136,Fall 2021/ Winter 2022,A-,Canadian Health Policy in the Global Context
RSM221,Winter 2021,B,Intermediate Financial Accounting II
PSY100,Fall 2022,C+,Introductory Psychology
RSM260,Winter 2021,B+,Organizational Behaviour
IMM250,Winter 2023,B+,The Immune System and Infectious Disease
PHL281,Winter 2023,B-,Bioethics
PSL301,Winter 2023,B-,Human Physiology II
SDS279,Winter 2021,A-,Queer Popular Culture
AST201,Summer 2021,B-,Stars and Galaxies
ECO320,Fall 2021,B,Economic Analysis of Law
NFS284,Fall 2021,B+,Basic Human Nutrition
RSM320,Fall 2021,B+,Intermediate Financial Accounting III
RSM324,Fall 2021,B+,Canadian Income Taxation I
RSM321,Winter 2022,B-,Advanced Financial Accounting Topics
RSM323,Winter 2022,B+,Auditing I
RSM333,Winter 2022,B,Corporate Finance
NMC101,Fall 2022,B,Land of the Pharaohs
PCL200,Fall 2022,B,Drugs & the Brain
RSM326,Fall 2022,B+,Data Analytics with Financial Accounting Information
RSM392,Fall 2022,B+,Strategic Management
RSM420,Winter 2023,B+,Advanced IT Audit and Data Analytics
RSM422,Winter 2023,B+,Management Control
RSM424,Winter 2023,B+,Canadian Income Taxation II
RSM426,Winter 2023,B+,Critical Thinking Analysis and Decision Making
